"전출지별","전입지별","항목","단위","2021. 03 월","2021. 04 월","2021. 05 월","1970 년","1971 년","1972 년","1973 년","1974 년","1975 년","1976 년","1977 년","1978 년","1979 년","1980 년","1981 년","1982 년","1983 년","1984 년","1985 년","1986 년","1987 년","1988 년","1989 년","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"전국","전라북도","순이동자수","명","-797","-519","260","-91270","-74495","-37017","-53076","-71645","-137347","-86763","-81468","-94771","-83574","-71224","-47923","-59435","-73269","-74678","-60107","-59315","-65908","-59637","-63258","-53340","-42298","-30761","-25990","-22929","-10115","-14371","-14597","-2269","-10449","-21590","-1911","-56735","-3039","-50969","-24477","-19162","-10874","-10550","-4806","-2448","1721","-3291","-2197","-2563","-2830","-4419","-7206","-13773","-12748","-8494",
"전국","전라남도","이동자수","명","23393","18130","16315","177536","243793","218180","301023","313318","572277","426056","460561","530257","467410","603459","555593","556325","653216","578625","577823","341022","373887","353613","322329","342318","320000","313436","295599","263849","331240","302707","293862","331140","355423","325511","320992","316647","326582","276573","284412","284276","287179","277906","281051","265600","261239","239026","244329","260278","250104","234132","227504","224384","224483","239016",
"전국","전라남도","순이동자수","명","-510","232","-10","-86372","-85649","-41002","-59451","-83974","-133291","-71088","-76770","-90449","-86252","-82773","-64538","-66954","-85868","-79791","-61356","-76907","-103978","-108839","-104178","-100070","-100570","-76533","-59255","-46442","-19164","-19522","-21590","1237","-24153","-33538","-36424","-46152","-36103","-32252","-20007","-24685","-16573","-13318","-7425","-10061","-5222","-5054","-2306","-596","3936","-3205","-3047","-8030","-8788","-9754",
"전국","경상북도","이동자수","명","34387","26786","24478","407643","470732","519508","605014","585406","1241147","739579","855263","947641","907292","1004311","441825","403659","438685","400881","397346","424060","456629","440750","402478","437000","449029","412622","421328","392828","419925","416050","395678","388186","424035","380638","380826","384589","371006","360764","374711","391486","380925","363297","367244","354575","363511","335362","329118","337041","344730","315652","311061","309446","306511","317701",
"전국","경상북도","순이동자수","명","1439","1133","1327","-62499","-57379","-13590","-25200","-27208","-83254","-58531","-61277","-62378","-49378","-42492","-77782","-94141","-101391","-103114","-78713","-65546","-64620","-72206","-72807","-49953","-47308","-29832","-15509","-18383","-4608","5548","-6215","573","-13205","-25706","-21305","-31278","-36833","-26921","-11517","-3319","-14611","-14100","-8307","-3552","4816","-4860","-1865","-988","-577","-3151","-5581","-9225","-4571","-16978",
"전국","경상남도","이동자수","명","38612","30589","28217","212521","214358","196534","282238","358116","514805","386917","457139","564057","535159","572251","566967","598107","656220","651485","608176","608659","686554","675152","638537","704656","723250","746907","656486","684247","679704","683550","459955","488910","490751","463895","458485","514140","523882","474081","493352","496713","491542","487356","485349","481955","473757","414556","427658","462239","455384","411952","413179","389714","396251","403339",
"전국","경상남도","순이동자수","명","-1556","-348","-687","-87276","-83934","-47696","-59260","-55326","-116412","-95125","-52227","-45105","-31492","-39683","-25836","-14298","-19820","-17476","-30189","-40145","-20418","-11556","-10518","18390","21856","24812","10806","20017","13664","19704","532","8567","-9375","-8512","-5166","6896","4288","-5611","5619","1294","7943","13029","11239","3246","4534","-2772","3794","6075","5105","1772","3979","-5810","-9310","-16658",
"전국","제주특별자치도","이동자수","명","9443","7445","6832","14551","19064","19404","25845","29176","50939","36273","43287","45012","44965","59168","59222","58848","71649","68207","63619","64405","68494","70300","68255","74806","74509","77302","73507","75609","83338","78175","79365","93844","90598","85242","96251","95668","98415","102978","93041","88992","83294","80124","76575","77224","82708","79501","88851","92508","97580","106825","105027","104202","94966","98114",
"전국","제주특별자치도","순이동자수","명","250","536","428","-3154","-3912","651","-2917","-5577","-9901","-7042","-8395","-9636","-4853","-1348","-1444","-3131","-1910","-4202","-3434","-3565","-2858","-1730","-231","3128","2776","1705","-1729","-2145","-826","-1093","-594","2530","181","-2358","-326","234","-1447","-83","-805","-1902","-2928","-2236","-1015","437","2343","4876","7823","11112","14257","14632","14005","8853","2936","3378",
"서울특별시","전국","이동자수","명","157833","127213","121276","1448985","1419016","1210559","1647268","1819660","2937093","2495620","2678007","3028911","2441242","2602912","2711478","2865994","3292353","2919812","2754023","2688836","2768999","3199831","2939473","2817484","2474117","2500698","2441965","2476583","2487230","2370792","2253203","1936944","2419111","2266346","2409733","2424472","2311691","1973439","2041756","2210458","2130928","2083352","1925452","1848038","1834806","1658928","1620640","1661425","1726687","1655859","1571423","1549937","1476081","1642977",
"서울특별시","전국","순이동자수","명","6216","9738","8309","-293828","-252689","-138774","-184590","-230732","-459569","-260890","-215396","-278528","-148425","-164904","-148382","-131860","-141831","-132746","-30364","5823","-84399","-188556","-109644","90992","36879","104884","182632","236497","321898","211237","178319","134013","81122","46939","113949","106421","68968","47204","51007","36551","52883","57994","52264","115023","113058","103647","100550","87831","137256","140257","98486","110230","49588","64850",
"서울특별시","서울특별시","이동자수","명","99401","81104","78702","1232619","1158556","985945","1345508","1511726","2401970","2041724","2212213","2518286","1883742","1985766","2090599","2200559","2510626","2208384","2007557","1934992","2015454","2431698","2186860","1972421","1764051","1764955","1648211","1666106","1603840","1571154","1485450","1256643","1668474","1582429","1658076","1672647","1609693","1345348","1397713","1521108","1448604","1426213","1286855","1199708","1215122","1069300","1053008","1098023","1129529","1061915","1018807","979576","950627","1068113",
"서울특별시","서울특별시","순이동자수","명","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"서울특별시","부산광역시","이동자수","명","1432","965","878","11568","11130","11768","16307","22220","27515","23732","27213","29856","28542","29202","30238","30035","31141","28498","27318","26235","26649","25188","22574","22005","20097","19344","18047","17411","17424","18460","17087","16839","17733","15968","16128","16732","16368","15559","15915","17079","17182","17353","17738","17418","18816","16135","16153","17320","17009","15062","14484","13093","12805","13209",
"서울특별시","부산광역시","순이동자수","명","-960","-489","-460","-12695","-19014","-6492","-7944","-8064","-32399","-19684","-15472","-18286","-11131","-14995","-19701","-20260","-23559","-18924","-14146","-9675","-8679","-12180","-14412","-12973","-8923","-10275","-11331","-9441","-8101","-6261","-7785","-6381","-9367","-12596","-12238","-11317","-10201","-8707","-9026","-9752","-9769","-7896","-6721","-5698","-4200","-5302","-3468","-3296","-2432","-4174","-4976","-6644","-7480","-7781",
"서울특별시","대구광역시","이동자수","명","904","627","517","","","","","","","","","","","","14813","14702","16744","14033","13861","14210","14515","13470","13666","12219","11641","11397","11573","11106","11352","11418","10648","10383","11031","9986","9363","9077","10094","9121","9447","9792","10275","9720","10464","10277","10397","10135","10631","10062","10191","9623","8891","8446","7897","8792",
"서울특별시","대구광역시","순이동자수","명","-890","-404","-412","","","","","","","","","","","","-4947","-9023","-15461","-14864","-11875","-7514","-5615","-8610","-7535","-7302","-5997","-5054","-3869","-3087","-2785","-3038","-3762","-3505","-5291","-6984","-7478","-7704","-5869","-5972","-5939","-6110","-5574","-5104","-5005","-3638","-2913","-3703","-3042","-3673","-2847","-3179","-4120","-5303","-6618","-6424",
"서울특별시","인천광역시","이동자수","명","4148","3608","3529","","","","","","","","","","","","54879","45878","57958","66715","67890","58591","58728","68068","73338","103533","80615","72097","67712","64485","62695","58631","60814","53946","54143","52829","52865","55500","44987","41567","46312","47467","51301","50493","45392","46082","51641","49640","47424","43212","44915","43745","40485","41233","38571","39875",
"서울특별시","인천광역시","순이동자수","명","374","663","703","","","","","","","","","","","","13390","1026","1542","10066","16197","10700","12274","10198","22437","60286","35627","26765","23396","19751","21094","15547","19929","15542","5551","6859","6652","10329","1842","2508","6340","5133","9716","10014","6534","10412","18633","17424","14407","8832","11345","11259","7957","8818","3811","1466",
"서울특별시","광주광역시","이동자수","명","786","541","517","","","","","","","","","","","","","0","0","0","0","11478","12324","14134","16784","16416","15345","14824","13419","13368","13758","13401","13518","13351","13429","11579","11266","10947","10525","10268","10447","11481","11624","10846","11725","11095","10587","10154","9129","9759","9216","8354","7932","7378","7014","7178",
"서울특별시","광주광역시","순이동자수","명","-517","-180","-219","","","","","","","","","","","","","0","0","0","0","-7773","-6036","-11164","-7116","-5682","-3537","-2665","-4263","-2909","-2000","-2310","-2124","-628","-4052","-6315","-5898","-6646","-6988","-5793","-5490","-4834","-4770","-3862","-2310","-1547","-1330","-1657","-1835","-1759","-1644","-2078","-2629","-3481","-3713","-4054",
"서울특별시","대전광역시","이동자수","명","1176","826","760","","","","","","","","","","","","","0","0","0","0","0","0","0","16281","19028","19496","17689","20291","18790","18989","18310","16685","19470","17463","16154","15163","14727","15557","14005","14366","14871","14277","13515","13632","13819","13900","14080","13440","13403","13453","12619","11815","11591","10759","11033",
"서울특별시","대전광역시","순이동자수","명","-547","-197","-167","","","","","","","","","","","","","0","0","0","0","0","0","0","-536","2849","4127","3113","6031","4962","4414","3213","1147","4931","-209","-2544","-2526","-3580","-1879","-2085","-2273","-2941","-3591","-3810","-3807","-1974","-990","-490","-716","-769","-106","-1107","-2303","-2630","-3966","-4083",
"서울특별시","울산광역시","이동자수","명","427","281","257","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4545","4413","4563","4105","4266","4085","4456","4252","4227","4656","4801","5057","4845","4742","5188","5691","5542","6047","5950","5102","4260","4086","3827","4085",
"서울특별시","울산광역시","순이동자수","명","-417","-119","-155","","","","","","","","","","","","","","","","","","","","","","","","","","","0","-849","-1253","-1734","-2024","-2164","-2483","-2145","-2112","-1947","-2066","-1920","-1205","-1667","-1742","-1090","-1108","-805","-411","-1004","-1648","-2448","-2763","-3128","-2977",
"서울특별시","세종특별자치시","이동자수","명","536","403","346","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2998","2851","6481","7550","5943","5813","5861","5919","5546",
