"전출지별","전입지별",2021. 03,2021. 03,2021. 04,2021. 04,2021. 05,2021. 05
"전출지별","전입지별",이동자수 (명),순이동자수 (명),이동자수 (명),순이동자수 (명),이동자수 (명),순이동자수 (명)
"인천광역시","충청남도",872,182,763,225,619,146
"인천광역시","전라북도",341,-21,225,-6,244,45
"인천광역시","전라남도",357,14,272,35,251,37
"인천광역시","경상북도",397,11,289,43,257,16
"인천광역시","경상남도",288,-84,267,-3,201,-29
"인천광역시","제주특별자치도",223,45,189,65,188,91
"광주광역시","전국",21570,1146,17967,743,17366,580
"광주광역시","서울특별시",1303,517,721,180,736,219
"광주광역시","부산광역시",138,14,93,8,80,2
"광주광역시","대구광역시",83,20,38,-9,30,-6
"광주광역시","인천광역시",223,93,141,61,131,30
"광주광역시","광주광역시",13853,0,12446,0,12399,0
"광주광역시","대전광역시",133,8,79,-14,93,4
"광주광역시","울산광역시",18,-18,14,-2,23,5
"광주광역시","세종특별자치시",83,49,42,10,35,6
"광주광역시","경기도",1061,369,826,297,679,135
"광주광역시","강원도",99,21,48,-9,58,31
"광주광역시","충청북도",89,15,72,3,85,29
"광주광역시","충청남도",207,63,160,29,132,47
"광주광역시","전라북도",576,-23,376,-122,408,34
"광주광역시","전라남도",3381,-7,2694,275,2249,-7
"광주광역시","경상북도",99,14,56,-1,70,37
"광주광역시","경상남도",133,-6,84,10,91,1
"광주광역시","제주특별자치도",91,17,77,27,67,13
"대전광역시","전국",21761,1274,16804,828,15875,517
"대전광역시","서울특별시",1723,547,1023,197,927,167
"대전광역시","부산광역시",186,-43,125,-50,117,-26
"대전광역시","대구광역시",154,-96,116,-19,91,-53
"대전광역시","인천광역시",297,60,168,-12,157,-9
"대전광역시","광주광역시",125,-8,93,14,89,-4
"대전광역시","대전광역시",12298,0,10120,0,9997,0
"대전광역시","울산광역시",80,-16,47,-12,41,-22
"대전광역시","세종특별자치시",1206,505,850,396,794,311
"대전광역시","경기도",1750,332,1322,255,1017,122
"대전광역시","강원도",192,-36,183,-52,134,7
"대전광역시","충청북도",845,-29,709,76,660,99
"대전광역시","충청남도",1632,204,1172,133,1036,4
"대전광역시","전라북도",379,-57,266,-12,298,10
"대전광역시","전라남도",207,-5,135,-12,126,-2
"대전광역시","경상북도",381,-12,215,-45,196,-52
"대전광역시","경상남도",205,-99,173,-54,130,-51
"대전광역시","제주특별자치도",101,27,87,25,65,16
"울산광역시","전국",14469,2232,11220,1140,10966,1093
"울산광역시","서울특별시",844,417,400,119,412,155
"울산광역시","부산광역시",1191,226,724,-1,734,119
"울산광역시","대구광역시",312,33,209,5,199,-1
"울산광역시","인천광역시",100,37,82,33,72,24
"울산광역시","광주광역시",36,18,16,2,18,-5
"울산광역시","대전광역시",96,16,59,12,63,22
"울산광역시","울산광역시",8308,0,7100,0,7051,0
"울산광역시","세종특별자치시",16,1,28,18,20,12
"울산광역시","경기도",741,361,510,191,449,169
"울산광역시","강원도",93,23,69,21,63,9
"울산광역시","충청북도",110,33,80,25,84,41
"울산광역시","충청남도",213,136,119,54,133,40
"울산광역시","전라북도",61,-1,44,-8,46,2
"울산광역시","전라남도",100,13,86,30,57,-5
"울산광역시","경상북도",1201,604,961,452,849,313
"울산광역시","경상남도",995,321,681,170,662,193
"울산광역시","제주특별자치도",52,-6,52,17,54,5
"세종특별자치시","전국",5413,-987,4218,-721,3972,-449
"세종특별자치시","서울특별시",512,-24,348,-55,276,-70
"세종특별자치시","부산광역시",52,-45,49,-3,36,-27
